Title,Price (PHP),Exact Lifetime Sold,Monthly Sold
BOW Ergonomic Three-mode Gaming Keyboard Mechanical Feel RGB Backlight  Wireless Rechargeable K520 Series Cute Silent Office Keyboard,704.0,10,10
Rapoo V500PRO-NEW RGB Backlit Mechanical Ergonomics Gaming Wired Keyboard Metal Alloy For Computer,1549.0,0,0
RGB Gaming Keyboard 104 Keys Wired Mechanical Keyboard Backlight Esports Desktop Keyboard,399.0,33,8
ABKO HACKER MECHANICAL KEYBOARD K660 / K300 /K640 [USED],672.0,29,7
AULA F87PRO V2 87Keys Mechanical Keyboard Tri-Mode Keyboard Wired/2.4G/Bluetooth Hot-Swappable,3899.0,1,1
INPHIC x Zeus V102 RGB Mechanical Feel Keyboard 16M RGB Colors Silent Typing Volume Knob LED Logo,799.0,1000,82
AULA S75 Pro Tri-mode Customized Mechanical Keyboard With Display Screen Wired/Bluetooth/2.4G Connec,1360.0,0,0
Attack Shark M86 STAR Mechanical Keyboard 80 Key RGB Tri-Mode Bluetooth 2.4G Gasket Structure,1899.0,1000,35
ATTACK SHARK X65HE Pro  Quickly Trigger Mechanical Keyboard Wired Magnetic Switch Hot Swappable RGB,1899.0,321,50
AULA S98Pro Wireless Mechanical Keyboard BT/2.4/Type-c RGB hot swappable knob LCD display screen,3896.0,56,13
AULA WIN60/68HE Magnetic Keyboard RT Gaming Wired RGB Hot-swap 8kHz low latency Mechanical Keyboard,1839.0,1000,169
Dark Alien K68 DIY Customized Mechanical Gaming Keyboard 65% Tri-Mode Hot Swappable Gaming Keyboard,1099.0,198,66
[SALE] Attack Shark M86 Mechanical Keyboard Wireless Bluetooth RGB Backlit Gaming Keyboard,1200.0,0,0
Gaming Keyboard Mechanical Feel Two-color Chocolate Keycap Color Backlit Wired Keyboard,342.0,20000,126
Gaming Keyboard Mechanical Feel 104 Keys Backlight Wired Keyboard With phone holder slot For Laptop,399.0,18,2
AULA F2088pro wired Mechanical Keyboard 108 Keys blue light Side Engraving Gaming Keyboard Office,2099.0,16,6
Machenike K500 B61 Wired Mechanical Keyboard 60% Keys Hot-Swappable Rgb Backlit,899.0,393,15
"2-button RGB mechanical keyboard with Hotswap integrated key combination according to user needs, OSU gaming",574.0,0,0
GK70 RGB Gaming Keyboard And Mouse Set With 104 Keys Backlight Wired Mechanical Keyboard For Laptop,505.0,10000,264
CPSTECH CT-87 CT-104 Oreo Hot Swappable Mechanical Keyboard 87/104 Keys Gaming Gamer Colorful Led,796.0,20000,86
AULA F108/ F108PRO Customized Mechanical Keyboard 100% Full Keys Layout Hot-swappable Gaming Keyboar,1240.0,0,0
FURYCUBE V68 Gaming Keyboard Mechanical 65% Layout Wired Keyboard With Knob Free Keycaps For Women,559.0,0,0
ONIKUMA G80 Mechanical Gaming Keyboard RGB 2.4G Bluetooth 94Keys Tri-Mode Wireless/Wired PC Laptop,1399.0,746,161
Onikuma MT603 Mechanical Gaming Keyboard 68 Keys Three-Mode Wireless/Wired Bluetooth 2.4GHZ Keyboards for PC Laptop/ONIKUMA Gaming Keyboard,2099.0,0,0
NEXION KY-610 RGB Mechanical Keyboard Light Changing Color 20 Running Lighting Modes Hot-swappable,899.0,1000,15
